	w99cc0	w99cc1	w99cc2	Safety Distance	TrajectoryNumber	Flow	Location	Scale	Shape	RoC	Total	Crossing	RearEnd	LaneChange
610	2.0	0.9	1	18.003	4553	679	1.600265e-12	4.987892e-12	3.077207	0.3678794	27	2	14	11
670	2.2	0.9	1	18.203000000000003	4613	679	2.0967e-13	6.672564e-13	3.138626	0.3678794	24	2	9	13
700	2.3	0.9	1	18.303	4643	679	5.273592e-11	1.113263e-10	1.753984	0.3678794	26	2	11	13
720	2.4	0.5	1	11.735000000000001	4663	679	1.365225e-12	4.227025e-12	3.052591	0.3678794	30	2	15	13
730	2.4	0.9	1	18.403000000000002	4673	679	3.857585e-12	1.139567e-11	2.897688	0.3678794	22	2	7	13
731	2.4	0.9	2	19.403000000000002	4674	679	5.038256e-12	1.151125e-11	2.199247	0.3678794	22	2	8	12
750	2.5	0.5	1	11.835	4693	679	4.966822e-12	1.266467e-11	2.438846	0.3678794	29	2	13	14
761	2.5	0.9	2	19.503	4704	679	4.70335e-13	1.170352e-12	2.125182	0.3678794	25	2	12	11
780	2.6	0.5	1	11.935	4723	679	2.779017e-13	6.959411e-13	2.342987	0.3678794	27	2	13	12
781	2.6	0.5	2	12.935	4724	679	9.643686e-13	2.995974e-12	3.064391	0.3678794	34	2	20	12
790	2.6	0.9	1	18.603	4733	679	1.067372e-14	3.863553e-14	3.201547	0.3678794	23	2	9	12
811	2.7	0.5	2	13.035	4754	679	4.195607e-13	1.422367e-12	3.369185	0.3678794	33	2	17	14
821	2.7	0.9	2	19.703000000000003	4764	679	2.436196e-12	7.14429e-12	2.872875	0.3678794	24	2	9	13
840	2.8	0.5	1	12.135000000000002	4783	679	2.548699e-13	6.968833e-13	2.649508	0.3678794	26	2	11	13
870	2.9	0.5	1	12.235000000000001	4813	679	8.622282e-13	2.925499e-12	3.359236	0.3678794	28	2	12	14
880	2.9	0.9	1	18.903000000000002	4823	679	1.900997e-13	4.724895e-13	2.339836	0.3678794	19	2	6	11
881	2.9	0.9	2	19.903000000000002	4824	679	9.928673e-13	3.097473e-12	3.077249	0.3678794	24	2	8	14
882	2.9	0.9	3	20.903000000000002	4825	679	5.629459e-13	1.681412e-12	2.93664	0.3678794	38	2	24	12
900	3.0	0.5	1	12.335	4843	679	1.203072e-14	3.873898e-14	3.14948	0.3678794	26	2	9	15
901	3.0	0.5	2	13.335	4844	679	7.825253e-14	2.216117e-13	2.758747	0.3678794	30	2	15	13
910	3.0	0.9	1	19.003	4853	679	2.869229e-14	8.376859e-14	2.800508	0.3678794	21	2	8	11
911	3.0	0.9	2	20.003	4854	679	3.601018e-14	1.026558e-13	2.750539	0.3678794	24	2	8	14
930	3.1	0.5	1	12.435	4873	679	5.359024e-13	1.742456e-12	3.217548	0.3678794	23	2	7	14
940	3.1	0.9	1	19.103	4883	679	7.921819e-14	2.127277e-13	2.589661	0.3678794	26	2	12	12
942	3.1	0.9	3	21.103	4885	679	1.651354e-12	5.289948e-12	3.170081	0.3678794	35	2	22	11
960	3.2	0.5	1	12.535	4903	679	4.812342e-13	1.495511e-12	3.066428	0.3678794	20	2	5	13
970	3.2	0.9	1	19.203000000000003	4913	679	6.003697e-13	1.326761e-12	1.792914	0.3678794	19	2	5	12
977	3.2	0.9	8	26.203000000000003	4920	679	3.070817e-13	8.203467e-13	2.560202	0.3678794	57	3	40	14
991	3.3	0.5	2	13.635000000000002	4934	679	1.863888e-13	6.006732e-13	3.190243	0.3678794	25	2	8	15
1000	3.3	0.9	1	19.303	4943	679	2.563193e-14	6.34979e-14	2.471226	0.3678794	23	2	8	13
1001	3.3	0.9	2	20.303	4944	679	2.099085e-11	5.060423e-11	2.27313	0.3678794	24	3	5	16
1002	3.3	0.9	3	21.303	4945	679	8.931111e-13	2.90988e-12	3.226312	0.3678794	30	3	14	13
1007	3.3	0.9	8	26.303	4950	679	1.422076e-14	4.108088e-14	2.47068	0.3678794	58	3	40	15
1021	3.4	0.5	2	13.735000000000001	4964	679	1.428753e-13	4.547952e-13	3.148184	0.3678794	24	2	10	12
1022	3.4	0.5	3	14.735000000000001	4965	679	6.231889e-14	1.903571e-13	3.027355	0.3678794	29	2	16	11
1031	3.4	0.9	2	20.403000000000002	4974	679	3.788618e-14	1.222868e-13	3.18298	0.3678794	22	2	6	14
1036	3.4	0.9	7	25.403000000000002	4979	679	5.321079e-14	1.476659e-13	2.679235	0.3678794	49	3	26	20
1037	3.4	0.9	8	26.403000000000002	4980	679	4.330477e-14	1.062127e-13	2.312061	0.3678794	62	2	43	17
1050	3.5	0.5	1	12.835	4993	679	2.700792e-14	7.590677e-14	2.754108	0.3678794	21	2	6	13
1054	3.5	0.5	5	16.835	4997	679	1.049045e-12	3.182087e-12	2.984711	0.3678794	33	2	18	13
1060	3.5	0.9	1	19.503	5003	679	3.027267e-12	8.621129e-12	2.775139	0.3678794	21	2	7	12
1062	3.5	0.9	3	21.503	5005	679	9.273199e-13	2.776749e-12	2.931184	0.3678794	31	3	17	11
1063	3.5	0.9	4	22.503	5006	679	2.699961e-13	8.921174e-13	3.258638	0.3678794	33	2	19	12
1064	3.5	0.9	5	23.503	5007	679	7.301558e-14	2.010341e-13	2.690872	0.3678794	46	3	26	17
1065	3.5	0.9	6	24.503	5008	679	6.228763e-14	1.651051e-13	2.555436	0.3678794	47	3	34	10
1068	3.5	0.9	9	27.503	5011	679	4.115702e-15	2.135228e-14	3.366644	0.3678794	56	3	41	12
1081	3.6	0.5	2	13.935	5024	679	7.987586e-14	2.41911e-13	2.993208	0.3678794	26	2	9	15
1087	3.6	0.5	8	19.935000000000002	5030	679	3.933797e-14	1.087195e-13	2.615482	0.3678794	78	3	57	18
1088	3.6	0.5	9	20.935000000000002	5031	679	9.406901e-14	2.723697e-13	2.848837	0.3678794	67	3	46	18
1090	3.6	0.9	1	19.603	5033	679	6.357545e-13	2.028861e-12	3.15445	0.3678794	24	2	9	13
1091	3.6	0.9	2	20.603	5034	679	9.112678e-13	2.698662e-12	2.931851	0.3678794	20	2	7	11
1092	3.6	0.9	3	21.603	5035	679	1.352666e-13	3.411914e-13	2.391465	0.3678794	27	3	10	14
1110	3.7	0.5	1	13.035	5053	679	3.868898e-14	1.078643e-13	2.708166	0.3678794	18	2	5	11
1126	3.7	0.9	7	25.703000000000003	5069	679	1.274099e-12	3.512822e-12	2.671576	0.3678794	45	3	28	14
1142	3.8	0.5	3	15.135000000000002	5085	679	2.147463e-13	7.29994e-13	3.379785	0.3678794	35	3	16	16
1144	3.8	0.5	5	17.135	5087	679	8.004681e-13	2.34062e-12	2.864485	0.3678794	30	2	19	9
1150	3.8	0.9	1	19.803	5093	679	3.83085e-14	1.108783e-13	2.783874	0.3678794	21	2	6	13
1151	3.8	0.9	2	20.803	5094	679	5.055163e-13	1.344388e-12	2.554055	0.3678794	19	2	8	9
1153	3.8	0.9	4	22.803	5096	679	2.617104e-13	6.961251e-13	2.562997	0.3678794	26	2	15	9
1155	3.8	0.9	6	24.803	5098	679	1.23114e-13	3.607531e-13	2.873254	0.3678794	44	3	29	12
1157	3.8	0.9	8	26.803	5100	679	8.5948e-14	2.35092e-13	2.656504	0.3678794	35	2	17	16
1170	3.9	0.5	1	13.235000000000001	5113	679	3.080475e-13	1.095994e-12	3.543166	0.3678794	23	2	9	12
1171	3.9	0.5	2	14.235000000000001	5114	679	6.750028e-13	1.833631e-12	2.623181	0.3678794	23	2	11	10
1172	3.9	0.5	3	15.235000000000001	5115	679	6.997968e-13	1.861173e-12	2.55282	0.3678794	22	3	9	10
1181	3.9	0.9	2	20.903000000000002	5124	679	2.939741e-13	8.171622e-13	2.699723	0.3678794	15	2	3	10
1182	3.9	0.9	3	21.903000000000002	5125	679	1.539901e-12	4.525489e-12	2.884433	0.3678794	28	3	13	12
1183	3.9	0.9	4	22.903000000000002	5126	679	1.075262e-12	3.422763e-12	3.146533	0.3678794	27	2	13	12
1184	3.9	0.9	5	23.903000000000002	5127	679	6.324607e-14	2.1475e-13	3.32641	0.3678794	33	3	18	12
1200	4.0	0.5	1	13.335	5143	679	2.413917e-13	6.46224e-13	2.58236	0.3678794	21	2	10	9
1201	4.0	0.5	2	14.335	5144	679	2.665504e-13	8.826629e-13	3.278869	0.3678794	23	2	11	10
1204	4.0	0.5	5	17.335	5147	679	6.056179e-14	1.60562e-13	2.528705	0.3678794	33	3	20	10
1206	4.0	0.5	7	19.335	5149	679	2.069622e-13	5.218239e-13	2.390802	0.3678794	44	3	30	11
1210	4.0	0.9	1	20.003	5153	679	1.013727e-13	2.523374e-13	2.336687	0.3678794	21	2	9	10
1213	4.0	0.9	4	23.003	5156	679	1.700436e-13	3.88408e-13	2.058157	0.3678794	36	3	18	15
1214	4.0	0.9	5	24.003	5157	679	3.256674e-12	9.678892e-12	2.917418	0.3678794	41	3	21	17
1216	4.0	0.9	7	26.003	5159	679	1.212558e-14	3.576669e-14	2.641488	0.3678794	32	3	15	14
1231	4.1	0.5	2	14.435	5174	679	3.371709e-13	8.581172e-13	2.417875	0.3678794	29	2	15	12
1234	4.1	0.5	5	17.435000000000002	5177	679	1.49731e-12	4.804707e-12	3.176749	0.3678794	33	3	19	11
1236	4.1	0.5	7	19.435000000000002	5179	679	2.873412e-13	8.90894e-13	3.049225	0.3678794	38	3	24	11
1237	4.1	0.5	8	20.435000000000002	5180	679	9.068923e-13	2.927146e-12	3.191593	0.3678794	47	2	20	25
1240	4.1	0.9	1	20.103	5183	679	1.199977e-12	3.274937e-12	2.641878	0.3678794	19	2	6	11
1241	4.1	0.9	2	21.103	5184	679	1.033427e-13	3.340968e-13	3.185358	0.3678794	17	2	5	10
1243	4.1	0.9	4	23.103	5186	679	5.253654e-14	1.307879e-13	2.301923	0.3678794	28	2	15	11
1244	4.1	0.9	5	24.103	5187	679	9.869663e-14	2.852358e-13	2.818939	0.3678794	43	3	27	13
1245	4.1	0.9	6	25.103	5188	679	2.425302e-13	6.435103e-13	2.551396	0.3678794	34	3	16	15
1246	4.1	0.9	7	26.103	5189	679	6.006213e-13	1.829031e-12	2.999342	0.3678794	39	3	23	13
1262	4.2	0.5	3	15.535	5205	679	1.219014e-12	3.836668e-12	3.1081	0.3678794	29	3	16	10
1263	4.2	0.5	4	16.535	5206	679	5.791722e-14	1.483725e-13	2.500285	0.3678794	42	2	26	14
1276	4.2	0.9	7	26.203000000000003	5219	679	3.592406e-13	1.325266e-12	3.675203	0.3678794	45	4	25	16
1291	4.3	0.5	2	14.635000000000002	5234	679	1.958033e-12	4.862188e-12	2.342986	0.3678794	31	2	14	15
1303	4.3	0.9	4	23.303	5246	679	5.280027e-12	1.426616e-11	2.603099	0.3678794	34	3	20	11
1304	4.3	0.9	5	24.303	5247	679	6.053217e-13	1.268745e-12	1.978666	0.3678794	39	3	20	16
1320	4.4	0.5	1	13.735000000000001	5263	679	5.65768e-14	1.74029e-13	3.023818	0.3678794	20	2	9	9
1321	4.4	0.5	2	14.735000000000001	5264	679	8.752724e-14	2.463646e-13	2.666315	0.3678794	29	2	15	12
1324	4.4	0.5	5	17.735	5267	679	2.149014e-13	5.671016e-13	2.531506	0.3678794	60	3	37	20
1325	4.4	0.5	6	18.735	5268	679	1.311251e-13	3.676523e-13	2.71225	0.3678794	38	3	23	12
1331	4.4	0.9	2	21.403000000000002	5274	679	7.071794e-14	2.1183e-13	2.951487	0.3678794	30	3	13	14
1334	4.4	0.9	5	24.403000000000002	5277	679	6.866452e-13	2.088886e-12	2.993768	0.3678794	35	3	19	13
1351	4.5	0.5	2	14.835	5294	679	2.302174e-12	7.21608e-12	3.094759	0.3678794	29	2	16	11
1353	4.5	0.5	4	16.835	5296	679	5.843416e-16	7.757913e-16	2.589149	0.3678794	36	2	19	15
1354	4.5	0.5	5	17.835	5297	679	3.444791e-14	1.05778e-13	2.963658	0.3678794	43	3	28	12
1381	4.6	0.5	2	14.935	5324	679	2.12451e-14	7.783851e-14	3.270779	0.3678794	30	2	19	9
1383	4.6	0.5	4	16.935000000000002	5326	679	1.948711e-13	4.32755e-13	1.968549	0.3678794	34	4	18	12
1384	4.6	0.5	5	17.935000000000002	5327	679	1.908074e-13	4.985167e-13	2.497973	0.3678794	46	3	28	15
1390	4.6	0.9	1	20.603	5333	679	7.683447e-14	2.096503e-13	2.655864	0.3678794	22	2	9	11
1391	4.6	0.9	2	21.603	5334	679	1.117315e-12	3.34073e-12	2.937505	0.3678794	26	3	9	14
1392	4.6	0.9	3	22.603	5335	679	2.270417e-12	7.149082e-12	3.110017	0.3678794	26	3	10	13
1393	4.6	0.9	4	23.603	5336	679	1.547359e-12	4.356987e-12	2.739589	0.3678794	29	3	16	10
1410	4.7	0.5	1	14.035	5353	679	6.136915e-14	1.801361e-13	2.876482	0.3678794	20	2	4	14
1412	4.7	0.5	3	16.035	5355	679	2.605067e-13	8.516251e-13	3.238863	0.3678794	25	3	9	13
1414	4.7	0.5	5	18.035	5357	679	5.977403e-13	1.736403e-12	2.849264	0.3678794	45	3	20	22
1421	4.7	0.9	2	21.703000000000003	5364	679	2.863521e-12	5.921279e-12	1.878213	0.3678794	18	3	7	8
1423	4.7	0.9	4	23.703000000000003	5366	679	1.055076e-12	3.442838e-12	3.230283	0.3678794	26	3	7	16
1440	4.8	0.5	1	14.135000000000002	5383	679	3.043644e-12	8.7232e-12	2.795736	0.3678794	15	2	6	7
1450	4.8	0.9	1	20.803	5393	679	2.953036e-12	8.963008e-12	2.986668	0.3678794	14	2	6	6
1451	4.8	0.9	2	21.803	5394	679	3.322045e-13	9.183743e-13	2.679551	0.3678794	23	3	10	10
1452	4.8	0.9	3	22.803	5395	679	7.133883e-13	1.923664e-12	2.600556	0.3678794	26	3	9	14
1453	4.8	0.9	4	23.803	5396	679	7.887888e-13	2.12246e-12	2.595749	0.3678794	22	3	7	12
1472	4.9	0.5	3	16.235	5415	679	5.467635e-13	1.631999e-12	2.91526	0.3678794	23	3	8	12
1473	4.9	0.5	4	17.235	5416	679	1.469685e-13	3.588638e-13	2.397514	0.3678794	29	2	12	15
1500	5.0	0.5	1	14.335	5443	679	1.553854e-13	4.055409e-13	2.490289	0.3678794	17	2	8	7
1501	5.0	0.5	2	15.335	5444	679	5.25769e-13	1.498801e-12	2.780648	0.3678794	31	2	20	9
1502	5.0	0.5	3	16.335	5445	679	1.914945e-13	5.703473e-13	2.928438	0.3678794	32	3	17	12
